user_id,session_id,success
USER_8438,SESS_000001,0
USER_2409,SESS_000002,1
USER_2811,SESS_000003,0
USER_7362,SESS_000004,1
USER_4595,SESS_000005,1
USER_1584,SESS_000006,1
USER_1920,SESS_000007,1
USER_4586,SESS_000008,1
USER_1612,SESS_000009,1
USER_2054,SESS_000010,1
USER_2560,SESS_000011,1
USER_5068,SESS_000012,1
USER_8437,SESS_000013,1
USER_9826,SESS_000014,1
USER_2451,SESS_000015,0
USER_7970,SESS_000016,1
USER_2857,SESS_000017,1
USER_7528,SESS_000018,1
USER_8426,SESS_000019,1
USER_4238,SESS_000020,1
USER_0809,SESS_000021,1
USER_5800,SESS_000022,1
USER_4233,SESS_000023,1
USER_2132,SESS_000024,1
USER_6077,SESS_000025,1
USER_1474,SESS_000026,0
USER_5900,SESS_000027,1
USER_5473,SESS_000028,0
USER_0431,SESS_000029,1
USER_6708,SESS_000030,1
USER_9651,SESS_000031,1
USER_6191,SESS_000032,1
USER_6416,SESS_000033,1
USER_6338,SESS_000034,1
USER_5733,SESS_000035,1
USER_6267,SESS_000036,1
USER_3850,SESS_000037,1
USER_0048,SESS_000038,0
USER_8479,SESS_000039,1
USER_9292,SESS_000040,1
USER_0692,SESS_000041,1
USER_8455,SESS_000042,0
USER_9403,SESS_000043,1
USER_7288,SESS_000044,1
USER_4233,SESS_000045,1
USER_2893,SESS_000046,0
USER_8576,SESS_000047,1
USER_9234,SESS_000048,1
USER_4648,SESS_000049,1
USER_5821,SESS_000050,1
USER_8647,SESS_000051,1
USER_0528,SESS_000052,1
USER_0080,SESS_000053,0
USER_8946,SESS_000054,0
USER_8245,SESS_000055,1
USER_5065,SESS_000056,1
USER_8305,SESS_000057,0
USER_7781,SESS_000058,1
USER_5125,SESS_000059,1
USER_8319,SESS_000060,1
USER_4716,SESS_000061,0
USER_2168,SESS_000062,0
USER_9629,SESS_000063,1
USER_0350,SESS_000064,1
USER_2876,SESS_000065,0
USER_6986,SESS_000066,1
USER_9350,SESS_000067,1
USER_8816,SESS_000068,0
USER_8978,SESS_000069,1
USER_4315,SESS_000070,0
USER_1848,SESS_000071,0
USER_2809,SESS_000072,0
USER_5205,SESS_000073,1
USER_7982,SESS_000074,1
USER_6179,SESS_000075,1
USER_0146,SESS_000076,0
USER_5135,SESS_000077,1
USER_7068,SESS_000078,1
USER_0989,SESS_000079,1
USER_8421,SESS_000080,0
USER_4728,SESS_000081,1
USER_9393,SESS_000082,0
USER_1838,SESS_000083,1
USER_7568,SESS_000084,0
USER_2979,SESS_000085,1
USER_8111,SESS_000086,1
USER_6146,SESS_000087,0
USER_5723,SESS_000088,1
USER_1803,SESS_000089,0
USER_0982,SESS_000090,1
USER_1833,SESS_000091,0
USER_3336,SESS_000092,1
USER_6853,SESS_000093,1
USER_2341,SESS_000094,0
USER_6725,SESS_000095,0
USER_2771,SESS_000096,1
USER_3764,SESS_000097,0
USER_2831,SESS_000098,1
USER_7630,SESS_000099,1
USER_5100,SESS_000100,1
USER_4717,SESS_000101,0
USER_2575,SESS_000102,0
USER_3156,SESS_000103,1
USER_7846,SESS_000104,0
USER_4886,SESS_000105,1
USER_8211,SESS_000106,1
USER_4163,SESS_000107,1
USER_5793,SESS_000108,1
USER_4494,SESS_000109,1
USER_0373,SESS_000110,1
USER_9383,SESS_000111,0
USER_1802,SESS_000112,1
USER_1374,SESS_000113,1
USER_8217,SESS_000114,0
USER_9978,SESS_000115,1
USER_0894,SESS_000116,0
USER_6075,SESS_000117,0
USER_3918,SESS_000118,0
USER_1771,SESS_000119,0
USER_9049,SESS_000120,1
USER_7656,SESS_000121,1
USER_8978,SESS_000122,1
USER_6696,SESS_000123,1
USER_7192,SESS_000124,1
USER_9278,SESS_000125,1
USER_5316,SESS_000126,1
USER_4537,SESS_000127,1
USER_5835,SESS_000128,1
USER_0521,SESS_000129,1
USER_6003,SESS_000130,1
USER_8153,SESS_000131,0
USER_5372,SESS_000132,0
USER_9127,SESS_000133,0
USER_7536,SESS_000134,0
USER_4438,SESS_000135,0
USER_4465,SESS_000136,0
USER_7686,SESS_000137,0
USER_6742,SESS_000138,1
USER_7011,SESS_000139,0
USER_5100,SESS_000140,0
USER_8074,SESS_000141,0
USER_5334,SESS_000142,0
USER_5796,SESS_000143,0
USER_6747,SESS_000144,0
USER_3774,SESS_000145,1
USER_0127,SESS_000146,0
USER_9234,SESS_000147,0
USER_7768,SESS_000148,0
USER_4011,SESS_000149,0
USER_8084,SESS_000150,0
