user_id,session_id,success
USER_2738,SESS_000001,1
USER_2905,SESS_000002,1
USER_6189,SESS_000003,1
USER_6178,SESS_000004,1
USER_2541,SESS_000005,1
USER_3795,SESS_000006,1
USER_2137,SESS_000007,1
USER_9900,SESS_000008,1
USER_9953,SESS_000009,1
USER_0587,SESS_000010,1
USER_8367,SESS_000011,0
USER_2017,SESS_000012,1
USER_3200,SESS_000013,1
USER_3714,SESS_000014,1
USER_4750,SESS_000015,1
USER_3425,SESS_000016,0
USER_7480,SESS_000017,1
USER_6492,SESS_000018,1
USER_1528,SESS_000019,0
USER_7277,SESS_000020,1
USER_0644,SESS_000021,1
USER_3691,SESS_000022,0
USER_8771,SESS_000023,1
USER_8618,SESS_000024,1
USER_1391,SESS_000025,1
USER_7022,SESS_000026,1
USER_9401,SESS_000027,1
USER_8017,SESS_000028,1
USER_7162,SESS_000029,1
USER_5137,SESS_000030,0
USER_9049,SESS_000031,1
USER_3284,SESS_000032,1
USER_9664,SESS_000033,1
USER_8170,SESS_000034,1
USER_1582,SESS_000035,0
USER_5390,SESS_000036,0
USER_8838,SESS_000037,0
USER_2892,SESS_000038,0
USER_1599,SESS_000039,0
USER_0283,SESS_000040,0
USER_0543,SESS_000041,0
USER_0587,SESS_000042,0
USER_6855,SESS_000043,0
USER_8922,SESS_000044,0
USER_1326,SESS_000045,1
USER_1958,SESS_000046,0
USER_4122,SESS_000047,0
USER_4610,SESS_000048,0
USER_4881,SESS_000049,0
USER_2637,SESS_000050,0
USER_5404,SESS_000051,0
USER_6421,SESS_000052,0
USER_1452,SESS_000053,0
USER_6003,SESS_000054,0
USER_4613,SESS_000055,0
USER_2655,SESS_000056,0
USER_6887,SESS_000057,0
USER_0402,SESS_000058,1
USER_2416,SESS_000059,0
USER_9936,SESS_000060,0
USER_9463,SESS_000061,1
USER_9866,SESS_000062,0
USER_6526,SESS_000063,0
USER_9278,SESS_000064,0
USER_5896,SESS_000065,0
USER_6742,SESS_000066,0
USER_9504,SESS_000067,0
USER_1154,SESS_000068,0
USER_8650,SESS_000069,0
USER_3964,SESS_000070,0
USER_1600,SESS_000071,0
USER_8639,SESS_000072,0
USER_1556,SESS_000073,0
USER_8034,SESS_000074,0
USER_3533,SESS_000075,0
USER_9433,SESS_000076,0
USER_7466,SESS_000077,0
USER_9440,SESS_000078,0
USER_6350,SESS_000079,0
USER_5448,SESS_000080,0
USER_9573,SESS_000081,1
USER_5886,SESS_000082,0
USER_1869,SESS_000083,0
USER_5047,SESS_000084,0
USER_8578,SESS_000085,0
USER_9304,SESS_000086,0
USER_9298,SESS_000087,0
USER_8123,SESS_000088,0
USER_9162,SESS_000089,0
USER_5538,SESS_000090,0
USER_8004,SESS_000091,1
USER_3181,SESS_000092,0
USER_0228,SESS_000093,0
USER_1466,SESS_000094,0
USER_1735,SESS_000095,0
USER_9956,SESS_000096,0
USER_4225,SESS_000097,0
USER_4266,SESS_000098,0
USER_8675,SESS_000099,0
USER_4082,SESS_000100,0
USER_2566,SESS_000101,0
USER_5747,SESS_000102,0
USER_9187,SESS_000103,0
USER_0629,SESS_000104,0
USER_9703,SESS_000105,0
USER_0150,SESS_000106,0
USER_8906,SESS_000107,0
USER_8252,SESS_000108,0
USER_2930,SESS_000109,0
USER_2204,SESS_000110,0
USER_7071,SESS_000111,0
USER_6332,SESS_000112,0
USER_7404,SESS_000113,0
USER_4419,SESS_000114,1
USER_8922,SESS_000115,0
USER_0285,SESS_000116,0
USER_8141,SESS_000117,0
USER_7364,SESS_000118,0
USER_5586,SESS_000119,0
USER_5213,SESS_000120,0
USER_0594,SESS_000121,0
USER_0635,SESS_000122,0
USER_2126,SESS_000123,0
USER_5976,SESS_000124,0
USER_7269,SESS_000125,0
USER_8645,SESS_000126,0
USER_7604,SESS_000127,0
USER_5498,SESS_000128,0
USER_4431,SESS_000129,0
USER_7134,SESS_000130,0
USER_2606,SESS_000131,0
USER_3246,SESS_000132,0
USER_4579,SESS_000133,0
USER_6948,SESS_000134,0
USER_2563,SESS_000135,0
USER_6128,SESS_000136,0
USER_6882,SESS_000137,0
USER_9153,SESS_000138,0
USER_6706,SESS_000139,0
USER_0720,SESS_000140,0
USER_1180,SESS_000141,0
USER_3296,SESS_000142,0
USER_4243,SESS_000143,0
USER_3768,SESS_000144,0
USER_3599,SESS_000145,0
USER_1172,SESS_000146,0
USER_9708,SESS_000147,0
USER_4697,SESS_000148,0
USER_6418,SESS_000149,0
USER_2470,SESS_000150,0
