session_id,session_length,user_id,timestamp
session_001,5.2,user_789,2024-01-15T10:30:00Z
session_002,7.8,user_790,2024-01-15T10:32:15Z
session_003,12.1,user_791,2024-01-15T10:35:22Z
session_004,15.4,user_792,2024-01-15T10:38:45Z
session_005,18.7,user_793,2024-01-15T10:42:10Z
session_006,21.3,user_794,2024-01-15T10:45:30Z
session_007,24.9,user_795,2024-01-15T10:48:20Z
session_008,28.2,user_796,2024-01-15T10:51:45Z
session_009,31.5,user_797,2024-01-15T10:55:12Z
session_010,34.8,user_798,2024-01-15T10:58:30Z
session_011,38.1,user_799,2024-01-15T11:02:15Z
session_012,41.4,user_800,2024-01-15T11:05:45Z
session_013,44.7,user_801,2024-01-15T11:09:20Z
session_014,48.0,user_802,2024-01-15T11:12:55Z
session_015,51.3,user_803,2024-01-15T11:16:30Z
session_016,54.6,user_804,2024-01-15T11:20:10Z
session_017,57.9,user_805,2024-01-15T11:23:45Z
session_018,61.2,user_806,2024-01-15T11:27:20Z
session_019,64.5,user_807,2024-01-15T11:30:55Z
session_020,67.8,user_808,2024-01-15T11:34:30Z
