user_id,session_id,success
user_001,session_001,0.45
user_002,session_002,0.52
user_003,session_003,0.61
user_004,session_004,0.68
user_005,session_005,0.72
user_006,session_006,0.75
user_007,session_007,0.78
user_008,session_008,0.81
user_009,session_009,0.83
user_010,session_010,0.85
user_011,session_011,0.87
user_012,session_012,0.88
user_013,session_013,0.89
user_014,session_014,0.90
user_015,session_015,0.91
user_016,session_016,0.92
user_017,session_017,0.92
user_018,session_018,0.93
user_019,session_019,0.93
user_020,session_020,0.94
